GroupID,GroupName,Admin,Privecy,Visibility,priority,varified,AssociatedGroupsJson,ModeratorsJson,DateCreated,DateUpdated,AboutGroup,EmazeSite,GroupCoverUrl,GroupPhotoUrl,SiteThumnail
1,BeitarJerusalem,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,1,0,0,0,NULL,NULL,2020-04-05 10:27:38.0531290,2020-04-05 10:27:38.0531290,Group of Beitar players,https://emaze.me/diogoverdasca,//userscontent2.emaze.com/userinfo//cover/2dc9b907-e9c5-4723-a843-b2e372fd1ca0.png,//userscontent2.emaze.com/userinfo//image/7c4d1d12-9dd0-4a97-94e1-3158dcae436d.jpg,//storage.googleapis.com/userscontent2.emaze.com/thumbnails/p16656019.jpeg?202003221226128890
2,BeitarFans,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,1,0,0,0,NULL,NULL,2020-04-05 10:27:38.0531290,2020-04-05 10:27:38.0531290,Group for fans of Beitar Jerusalem f.c.,NULL,//userscontent2.emaze.com/userinfo//cover/b397a67d-e1df-46bf-9f9a-8833d5282637.jpg,//userscontent2.emaze.com/userinfo//image/1e5ac276-bbe8-4db6-a77d-8382a5afcc97.PNG,NULL
3,newgroupwithdate2,NULL,0,0,0,0,NULL,NULL,2020-04-05 12:00:36.2022096,2020-04-05 12:00:36.2022096,NULL,NULL,NULL,NULL,NULL
4,another-group,NULL,0,0,0,0,NULL,NULL,2020-04-20 08:57:01.8046276,2020-04-20 08:57:01.8046276,NULL,NULL,NULL,NULL,NULL
5,"""""",NULL,0,0,0,0,NULL,NULL,2020-04-20 10:44:39.2241056,2020-04-20 10:44:39.2241056,NULL,NULL,NULL,NULL,NULL
6,thisisgroup,NULL,0,0,0,0,NULL,NULL,2020-04-20 10:47:56.9358408,2020-04-20 10:47:56.9358408,NULL,NULL,NULL,NULL,NULL
7,test111,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 11:46:05.0918434,2020-04-20 11:46:05.0918434,NULL,NULL,NULL,NULL,NULL
8,thisisgroup222,NULL,0,0,0,0,NULL,NULL,2020-04-20 12:26:01.5647857,2020-04-20 12:26:01.5647857,NULL,NULL,NULL,NULL,NULL
9,asdasd,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 13:21:25.9275370,2020-04-20 13:21:25.9275370,NULL,NULL,NULL,NULL,NULL
10,asdasda,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 13:31:33.0225036,2020-04-20 13:31:33.0225036,NULL,NULL,NULL,//userscontent2.emaze.com/userinfo//image/63b3d820-34ba-4fb6-9e39-811236e3b9cb.jpg,NULL
11,asdasdaaa,db2995b1-3963-4631-b702-65d02fca3b81,0,0,0,0,NULL,NULL,2020-04-20 13:32:37.5086859,2020-04-20 13:32:37.5086859,NULL,NULL,NULL,NULL,NULL
12,Moregroups,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-05-05 11:16:07.4796872,2020-05-05 11:16:07.4796872,NULL,NULL,//userscontent2.emaze.com/userinfo//cover/cc22f664-a089-43e3-bc1a-3234cd07de48.jpg,//userscontent2.emaze.com/userinfo//image/62fdca26-8e38-45af-b9a8-3d1fe0272d07.jpg,NULL
13,Emaze,e9477dec-c960-4f11-a563-9781cf8b1c15,2,0,0,0,NULL,NULL,2020-05-17 12:50:31.7140545,2020-05-17 12:50:31.7140545,NULL,NULL,//userscontent2.emaze.com/userinfo//cover/379dc349-0e63-4b80-b63c-955d6326ac89.png,//userscontent2.emaze.com/userinfo//image/26956f3c-bef6-4253-be82-e588b88c3d11.png,NULL
14,Design and Marketing Team,886b35c1-7e9d-46da-b9ff-d4099d142194,1,0,0,0,NULL,NULL,2020-05-26 13:22:05.4708510,2020-05-26 13:22:05.4708510,NULL,NULL,"Be your best hipster self with these essential guidelines!🕶
Create your free Emaze website using the ""Hipster"" template here: www.emaze.com ☕️
#emaze #hipster #guidelines #artsy #coffee #create #creative #website #free #webdesign",NULL,NULL
15,Israeli Singers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 08:23:51.7065935,2020-05-31 08:23:51.7065935,"This is a unique group of Israeli singers. Israeli singers can share information related to singing auditions, singing tips, agenda shows, and more. Israeli singers can share posts from their performance and get feedback here too.

Join and share this group if you are an Israeli Music lover.",NULL,//userscontent2.emaze.com/userinfo//cover/07e750ab-655c-43b5-a972-99b222988925.jpg,//userscontent2.emaze.com/userinfo//image/cf9b24c2-e33c-4bb5-aff7-12f28cff454f.jpg,NULL
16,Israeli Actors & Actresses,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 09:08:05.0306628,2020-05-31 09:08:05.0306628,"Welcome to Israeli Actors & Actresses Group! Here you'll find the most popular Israeli celebrities all in one place.

Everything you want to know about famous actors and actresses - Natalie Portman, Gal Gadot, Sagi Braitner, ....",NULL,//userscontent2.emaze.com/userinfo//cover/3c97d52b-84f7-4b81-948a-0307bfa42198.jpg,//userscontent2.emaze.com/userinfo//image/a6187ff9-ff37-4fc9-96e9-4942e82c8b09.jpg,NULL
17,Israeli Models,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 09:13:44.6716357,2020-05-31 09:13:44.6716357,"Whatever the reason, Israel is producing hot names in the modeling business. From exotic eyes to perfect bodies, these Israeli models are the hottest names in the industry!

Follow our groups and get to see all the content!",NULL,//userscontent2.emaze.com/userinfo//cover/e93a79a7-b12e-44a3-96ae-7792036bae2b.jpg,//userscontent2.emaze.com/userinfo//image/76c74b7a-2ad0-4434-bac5-0290e4bce639.jpg,NULL
18,TikTok Influencers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 09:17:42.0910449,2020-05-31 09:17:42.0910449,"A Humble Welcome from TikTok Influencers Group. This is the newest Emaze.me community of the whole world for TikTokers.

The purpose of this group is for networking with other TikTok influencers and sharing different ways to grow and build our individual followings to leverage the explosive growth of brands partnering with influencers.",NULL,//userscontent2.emaze.com/userinfo//cover/32c86c6d-47c0-475e-bb91-b0de4f8bca08.jpeg,//userscontent2.emaze.com/userinfo//image/1dc32c2d-d12d-4476-adf4-1ad8fb71ebd9.jpg,NULL
19,Brazilian Influencers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 09:27:44.4436897,2020-05-31 09:27:44.4436897,"WELCOME TO THE BRAZILIAN INFLUENCERS COMMUNITY 

This group is for everyone that loves Brazilians and wants to discover how they create a profitable personal brand and business on their social media. 


If you are Brazilian (or just speak Portuguese), you should enjoy the community! Tap the button ""join""!

TERMS OF THE GROUP

1. PARTICIPATE. We all have value to bring to support and learn from each other, so don’t be shy! 

2. NO PROMOTIONS ALLOWED IN A POST OR COMMENTS. This group is for us to gain knowledge by sharing information you feel will inspire or teach. Any self-serving posts will be deleted. There will be a promo thread each week where promotions will be posted, so please don’t post random links promoting your business.",NULL,//userscontent2.emaze.com/userinfo//cover/4dbb7088-03f6-40f6-8f67-257751f66d28.gif,//userscontent2.emaze.com/userinfo//image/82106353-9080-4239-ae48-2fe9139914b1.jpg,NULL
20,Israeli Beauty Influencers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 10:48:38.4570794,2020-05-31 10:48:38.4570794,"For Fashion or Beauty influencers or bloggers to join only. OR if you're a brand wanting to connect with influencers. If accepted, you must follow the rules. Admins have the right to remove/ban members if they don’t follow rules.

You may also promote your posts, videos, giveaways, etc. I'll just have to approve it first. Please read the rules below to see what kind of posts are allowed.",NULL,//userscontent2.emaze.com/userinfo//cover/28dd166a-ace9-482e-8ab7-0d175f858ed2.jpg,//userscontent2.emaze.com/userinfo//image/79c5b6e2-8061-427b-b8a8-d6d0e3b65af5.jpg,NULL
21,Brazilian Singers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 10:57:02.8368058,2020-05-31 10:57:02.8368058,"This group is for anyone who loves Brazilian traditional and traditionally influenced music such as Anitta, MCKevinho, Iza, Luisa Sonza, Gustavo Lima. It's also for you people who play Brazilian music, on the fiddle, flute, uilleann pipes, whistle, concertina, accordion, banjo, mandolin, harp, or bodhran.  

Please keep postings about Brazilain traditional music and musicians, other postings will be removed.",NULL,//userscontent2.emaze.com/userinfo//cover/ca2fcb5b-a279-4dc3-8a71-b60faa5f9c70.jpg,//userscontent2.emaze.com/userinfo//image/bc3de8ba-7969-40cf-82e6-771080e1e912.jpg,NULL
22,Brazilian Beauty & Fashion Influencers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 11:08:53.7068189,2020-05-31 11:08:53.7068189,"First rule: ONLY girls are allowed!

Makeup is a key factor in the fashion world and every female desire... we involves a sophisticated understanding of current trends and shifting these trends from Natural to Modern Look. 

Note: No Bad comments are allowed to any blogger if you do a bad comment we will remove you. Plus, we acknowledge anything you want to communicate if something is not suiting the make up artist communicate in a sophisticated manner. 

Some Rules Should be Adhere by Members!
1- No advertisement or selling 
2- Make-Up pictures should be given complete details.
3- Any one want to introduce any thing must come live.
4- No permission required for coming live anyone can come live anytime.
5- No Discrimination or No negative comments by anyone. Constructive criticism is allowed but in good manner 
6- Don't Impose fatwa on anyone if you want to convey your msg to anyone through inbox.
7- we are family here so let build each other and promote each other
8- Encouragement to New comers who break the nut shell and come live.",NULL,//userscontent2.emaze.com/userinfo//cover/c9b9c561-2dcd-44d5-95c1-5b658aafb175.jpg,//userscontent2.emaze.com/userinfo//image/306c3dbc-b5ee-47f4-ac80-6fa54c82a67e.jpg,NULL
23,American Pop Singers,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 11:29:48.5303698,2020-05-31 11:29:48.5303698,"Welcome to our popular and friendly group!

We are here to promote and showcase talent. We respect all artists and want you to post your music and videos etc.  

One main rule applies here - PLEASE BE NICE! - however, please also make sure your posts are connected with singing/music or entertaining.

Thanks,
Admin",NULL,//userscontent2.emaze.com/userinfo//cover/16fc542b-278e-4584-b890-7f1cad6a056b.gif,//userscontent2.emaze.com/userinfo//image/6b4edc71-b119-4404-bd99-538762fbc532.jpg,NULL
24,World Soccer Players,886b35c1-7e9d-46da-b9ff-d4099d142194,0,0,0,0,NULL,NULL,2020-05-31 11:41:04.9877520,2020-05-31 11:41:04.9877520,NULL,NULL,//userscontent2.emaze.com/userinfo//cover/56e0f7c9-54ed-491c-afb7-3424f11de318.jpg,//userscontent2.emaze.com/userinfo//image/1905c9e3-4ef6-4ab5-ba09-d52c13283fec.jpg,NULL
25,hadas team,18d5fe79-926b-489c-9dc3-406641760d0d,0,0,0,0,NULL,NULL,2020-06-01 08:04:53.5028519,2020-06-01 08:04:53.5028519,NULL,NULL,NULL,NULL,NULL
26,Soccer Players,fbd9fc95-9d77-493f-842d-cbd5e8a72baf,0,0,0,0,NULL,NULL,2020-06-01 08:53:08.7056457,2020-06-01 08:53:08.7056457,"Hello guys!

I make this group to get some soccer players content together! It's free to follow and you can ask to join!

Welcome to Neymar's Soccer Players Group!",NULL,//userscontent2.emaze.com/userinfo//cover/c56e7dfa-a099-42c7-b3eb-62eff4d9e8ec.jpg,//userscontent2.emaze.com/userinfo//image/6533716f-ad1e-4ce6-a84c-3687221ed878.jpg,NULL
27,hadas,18d5fe79-926b-489c-9dc3-406641760d0d,0,0,0,0,NULL,NULL,2020-06-03 08:06:22.2672401,2020-06-03 08:06:22.2672401,dsadasd asd asd as,NULL,NULL,NULL,NULL
28,test1,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-03 11:05:11.6655006,2020-06-03 11:05:11.6655006,NULL,https://emaze.me/nrth90,NULL,NULL,//storage.googleapis.com/userscontent2.emaze.com/thumbnails/p11064766.jpeg?201710291347208336
29,test123,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-03 11:40:24.5351564,2020-06-03 11:40:24.5351564,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,https://emaze.me/a865714,//userscontent2.emaze.com/userinfo//cover/5f40d49b-aada-4ca2-9ea1-179d8a7c4757.jpg,//userscontent2.emaze.com/userinfo//image/9359261c-fab5-4111-aeef-7870f5de9e3b.jpg,//storage.googleapis.com/userscontent2.emaze.com/thumbnails/p11064694.jpeg?201710291341043501
30,aaaassss,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-07 13:43:01.9920087,2020-06-07 13:43:01.9920087,NULL,NULL,NULL,NULL,NULL
31,TEST12,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 12:01:31.4550298,2020-06-10 12:01:31.4550298,NULL,NULL,NULL,NULL,NULL
32,test1235,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 12:16:42.6078669,2020-06-10 12:16:42.6078669,NULL,NULL,NULL,NULL,NULL
33,ttttteeeeesssssttt,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 12:29:07.8809351,2020-06-10 12:29:07.8809351,NULL,NULL,NULL,NULL,NULL
34,this is not,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 12:31:18.6359884,2020-06-10 12:31:18.6359884,NULL,NULL,NULL,NULL,NULL
35,potatoes are good,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 12:35:45.6971898,2020-06-10 12:35:45.6971898,NULL,NULL,NULL,NULL,NULL
36,this is not too,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 12:36:18.9786157,2020-06-10 12:36:18.9786157,NULL,NULL,NULL,NULL,NULL
37,test1234,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 13:04:36.6118627,2020-06-10 13:04:36.6118627,NULL,NULL,NULL,NULL,NULL
38,tttttttttt,d1f13501-60bf-4dd8-b6e8-c11d2f8eab8c,0,0,0,0,NULL,NULL,2020-06-10 13:12:43.2626252,2020-06-10 13:12:43.2626252,NULL,NULL,NULL,NULL,NULL
