ThemeCategoryID,themeID,categoryID
580,46965,3
583,4024,3
585,33458,1
587,11055,1
588,13078,1
589,10,1
590,47376,1
591,3,1
592,9054,1
594,11056,4
595,9048,1
596,7,1
597,13061,4
599,6042,1
601,4,5
605,8044,6
610,2021,2
613,1020,2
614,9054,2
617,8044,2
618,1,2
620,18506,2
621,47371,1
626,47373,1
627,47358,1
630,47372,1
632,47378,3
633,47415,5
637,47420,4
642,47422,5
645,47424,1
646,47427,4
649,47432,5
651,47434,6
652,47334,3
653,47332,3
654,47327,2
655,47350,1
656,47349,2
660,47314,45
661,47314,46
662,47314,47
689,47313,45
690,47326,45
705,47400,46
713,47412,45
714,47412,45
720,47404,47
721,47405,47
722,47406,47
727,47408,47
748,47328,111
749,47328,112
750,47328,113
784,47328,111
785,47328,112
786,47328,113
790,47328,111
791,47328,112
792,47328,113
857,47461,68
858,47460,68
901,47462,68
909,47456,102
915,47468,101
919,47341,65
921,47342,65
981,13066,6
1005,47377,3
1006,47425,1
1007,47391,1
1011,47418,5
1012,47440,6
1030,47511,65
1049,47337,65
1050,47338,65
1051,47339,65
1132,47492,68
1236,47413,68
1248,47548,3
1268,47337,65
1270,47338,65
1271,47339,65
1296,47511,65
1301,47492,64
1313,47341,65
1315,47342,65
1403,47343,101
1404,47343,102
1405,47414,102
1406,47351,101
1432,47429,6
1433,47565,1
1434,47565,2
1435,47565,3
1436,47565,4
1437,47565,5
1438,47565,6
1439,47566,1
1440,47566,2
1441,47566,3
1442,47566,4
1443,47566,5
1444,47566,6
1445,47567,1
1446,47567,2
1447,47567,3
1448,47567,4
1449,47567,5
1450,47567,6
1451,47568,1
1452,47568,2
1453,47568,3
1454,47568,4
1455,47568,5
1456,47568,6
1457,46670,2
1458,46670,3
1459,46670,1
1460,46670,4
1461,46670,5
1462,46670,6
1463,46673,1
1464,46673,2
1465,46673,3
1466,46673,4
1467,46673,5
1468,46673,6
1469,46671,1
1470,46671,2
1471,46671,3
1472,46671,4
1473,46671,5
1474,46671,6
1475,46672,1
1476,46672,2
1477,46672,3
1478,46672,4
1479,46672,5
1480,46672,6
1502,47370,1
1503,47578,1
1507,47576,1
1508,47577,1
1529,47544,68
1530,47544,61
1531,47545,68
1534,47582,1
1554,47472,68
1555,47472,63
1584,47538,68
1585,47538,61
1586,47539,68
1622,47514,68
1623,47514,61
1633,47554,68
1634,47554,61
1678,47589,1
1679,47591,47
1684,47560,68
1685,47560,62
1695,7043,1
1696,47443,102
1697,47443,68
1698,47443,61
1701,47528,68
1702,47528,61
1703,47528,61
1710,47550,68
1711,47550,61
1717,47572,102
1718,47549,68
1719,47549,61
1726,47466,68
1727,47466,61
1728,47570,63
1729,47458,102
1730,47476,101
1731,47475,101
1741,47537,68
1742,47537,63
1746,47587,68
1747,47587,61
1756,47449,68
1757,47449,65
1760,47457,68
1761,47457,65
1762,47457,65
1791,47387,2
1792,47599,102
1797,47532,68
1798,47532,61
1829,47494,68
1830,47494,64
1835,47600,1
1848,47540,68
1849,47540,61
1859,47518,68
1860,47518,61
1865,47509,65
1866,47509,65
1869,47482,68
1870,47482,64
1871,47552,68
1872,47552,63
1873,47551,68
1874,47551,63
1875,47602,68
1876,47602,61
1883,47603,68
1884,47603,61
1885,47421,6
1886,47601,1
1890,47523,68
1891,47523,63
1892,47450,68
1893,47450,102
1894,47450,63
1898,47498,68
1899,47498,64
1900,47442,68
1901,47442,65
1902,47465,68
1903,47465,61
1904,47507,65
1905,47507,65
1906,47519,65
1907,47519,65
1910,47542,68
1911,47542,61
1912,47543,68
1923,47467,65
1924,47467,65
1925,47486,68
1926,47486,64
1929,47497,68
1930,47497,63
1933,47485,68
1934,47485,64
1943,47437,68
1944,47437,65
1976,47464,68
1977,47464,63
1980,47483,68
1981,47483,64
1982,47483,64
1987,47382,2
1990,47525,65
1991,47525,65
1992,47597,65
1993,47579,65
1994,47586,65
1995,47583,65
1996,47584,65
2001,47522,65
2002,47522,65
2003,47522,65
2006,47448,68
2007,47448,61
2013,47506,65
2014,47506,65
2026,47573,1
2027,47574,1
2036,47463,68
2037,47463,65
2039,47417,6
2040,47428,4
2041,4034,3
2042,47416,1
2043,47562,1
2044,13095,1
2045,47455,102
2046,47502,101
2047,47477,102
2058,47451,68
2059,47451,65
2066,47505,68
2067,47505,61
2102,47336,68
2103,47336,65
2104,47336,61
2105,47336,62
2106,47336,63
2107,47336,64
2108,47336,65
2109,47336,69
2111,47615,69
2112,47614,69
2113,47612,69
2114,47613,69
2115,47605,69
2120,47608,68
2121,47608,69
2128,47618,2
2129,47618,6
2149,47611,68
2150,47611,69
2151,47515,68
2152,47515,61
2153,47515,61
2174,47493,68
2175,47493,64
2176,47510,68
2177,47510,64
2178,47473,68
2179,47473,62
2182,47559,68
2183,47558,68
2184,47558,61
2187,47619,68
2188,47619,63
2192,47623,61
2193,47624,61
2209,47625,102
2224,47496,68
2225,47496,64
2233,47622,68
2234,47622,63
2236,36928,1
2243,47547,3
2247,47630,3
2248,47454,111
2249,47356,113
2252,47348,111
2253,47393,112
2254,47569,113
2255,47357,111
2263,47347,113
2266,47503,112
2267,47504,112
2269,47411,111
2271,47553,111
2273,47594,112
2276,47526,111
2279,47419,4
2282,47575,68
2283,47575,61
2288,47626,102
2297,47634,68
2298,47634,69
2299,47617,61
2300,47520,68
2301,47520,61
2302,47606,113
2305,47635,68
2306,47635,61
2336,47637,68
2337,47637,61
2341,47640,68
2342,47640,62
2358,47651,68
2359,47651,61
2363,47652,68
2364,47652,61
2365,47653,61
2373,47658,68
2374,47658,61
2375,47659,61
2379,47660,68
2380,47660,61
2391,47664,68
2392,47664,61
2393,47665,61
2396,47666,68
2397,47666,61
2411,47668,61
2422,47647,68
2423,47647,61
2424,47661,61
2446,47676,111
2447,47670,65
2464,47677,65
2465,47677,65
2488,47663,61
2489,47662,68
2490,47662,61
2497,47638,61
2509,47639,68
2510,47639,61
2511,47646,63
2513,47685,1
2554,47692,113
2561,47571,68
2562,47571,61
2574,47531,68
2575,47531,61
2585,47700,102
2588,47479,68
2589,47479,61
2591,47699,61
2596,47673,68
2597,47673,61
2600,47705,61
2601,47705,63
2610,47546,68
2611,47546,61
2612,47649,61
2613,47650,61
2614,47667,61
2617,47708,68
2618,47708,61
2629,47703,61
2631,47713,61
2632,47712,61
2644,47715,68
2645,47715,61
2662,47704,61
2663,47704,63
2670,47717,61
2683,47709,68
2684,47709,61
2685,47726,61
2686,47727,61
2687,47728,61
2688,47729,61
2706,47513,68
2707,47513,61
2708,47581,61
2709,6036,1
2710,47671,102
2711,47671,68
2712,47671,61
2713,47672,61
2714,47719,68
2715,47719,61
2726,47721,68
2727,47721,61
2730,47654,68
2731,47654,61
2732,47656,61
2733,47655,61
2734,47533,68
2735,47533,61
2736,47534,68
2737,47535,68
2738,47536,68
2741,47736,68
2742,47736,63
2745,47644,68
2746,47644,61
2757,47738,111
2758,47632,111
2759,47604,68
2760,47604,61
2761,47711,68
2762,47711,61
2773,2024,2
2775,47740,61
2776,47541,68
2777,47541,62
2780,47318,45
2781,47744,45
2784,47745,101
2785,47508,68
2786,47508,64
2787,47512,68
2788,47512,63
2789,47480,68
2790,47480,62
2791,47447,68
2792,47447,63
2797,47517,68
2798,47517,64
2801,47693,61
2802,47693,63
2803,47694,61
2804,47730,61
2805,47731,61
2810,47733,68
2811,47733,61
2814,47747,61
2885,47423,5
2886,47438,5
2892,47753,68
2893,47753,63
2904,47752,63
2923,47757,111
2930,47755,68
2931,47755,61
2932,47754,68
2933,47754,61
2935,47500,45
2936,47501,45
2940,47446,45
2942,47478,46
2943,47474,46
2944,47629,46
2946,47322,46
2947,47324,46
2948,47397,46
2949,47580,46
2950,47484,46
2951,47445,46
2952,47325,46
2953,47398,46
2958,47396,45
2959,47399,45
2960,47320,47
2962,47323,45
2963,47321,45
2964,47627,46
2965,47628,46
2966,47607,46
2967,47469,46
2969,47430,46
2973,47435,45
2974,47394,46
2975,47749,61
2976,47750,61
2977,47748,61
2984,47759,65
3065,47763,68
3066,47763,62
3075,47564,113
3076,47563,113
3077,47355,46
3080,47768,63
3083,47764,62
3085,47690,62
3086,47631,113
3093,47766,111
3094,47769,63
3096,47770,113
3105,47499,68
3106,47499,64
3124,47633,111
3127,47775,111
3128,47776,112
3129,47777,111
3130,47771,111
3137,47778,113
3140,47774,111
3141,47773,68
3142,47773,64
3143,47772,68
3144,47772,64
3149,47782,2
3150,47784,1
3151,47784,4
3152,47785,1
3165,47787,61
3170,47786,112
3193,47529,68
3194,47529,62
3195,47481,68
3196,47481,62
3197,47487,68
3198,47487,62
3206,47491,68
3207,47491,62
3208,47452,68
3209,47452,62
3210,47490,68
3211,47490,62
3212,47490,62
3216,47388,2
3217,47389,2
3218,47390,2
3227,47791,2
3228,47739,46
3229,47792,46
3230,47585,3
3232,47793,2
3233,47793,6
3234,47621,68
3235,47621,61
3236,47695,61
3239,47794,2
3240,47795,2
3244,47797,102
3251,47799,101
3252,47799,102
3253,47796,68
3254,47796,61
3255,47796,63
3265,47804,68
3266,47804,65
3267,47804,63
3269,47806,45
3270,47808,45
3271,47808,45
3274,47810,102
3275,47809,102
3278,47812,61
3306,47814,61
3326,47811,112
3327,47813,68
3328,47813,61
3329,47319,46
3336,47516,111
3341,47820,112
3365,47822,64
3367,47829,112
3370,47830,46
3371,47489,68
3372,47489,62
3375,47827,62
3378,47832,62
3379,47831,68
3380,47831,62
3381,47834,46
3394,47340,65
3395,47340,65
3396,47340,63
3400,47384,3
3405,11054,2
3406,11054,1
3407,47488,68
3408,47488,62
3409,47022,1
3410,47383,3
3416,47843,68
3417,47843,62
3420,47844,1
3421,47844,6
3443,47838,112
3444,47837,112
3445,47636,68
3446,47636,64
3447,47459,68
3448,47459,64
3451,47609,112
3454,47453,113
3460,47847,111
3468,47852,1
3470,47853,1
3472,47854,1
3473,47851,1
3476,47839,111
3477,47845,68
3478,47845,64
3479,47855,1
3481,13058,2
3483,47858,2
3484,47861,112
3485,47862,112
3486,47868,2
3487,47868,4
3488,47870,61
3489,47871,68
3490,47871,61
3491,47872,61
3492,47873,68
3493,47873,61
3494,47874,68
3495,47874,61
3496,47875,68
3497,47875,61
3498,47444,45
4509,48871,61
4510,48873,61
4511,48875,68
4512,48875,61
4513,48876,68
4514,48876,61
4515,48877,61
4519,48881,113
4521,48884,1
4522,48884,4
4527,48883,61
4528,48885,102
4529,47392,2
4530,48878,111
4531,48872,111
4532,48879,113
4533,47788,1
4534,47788,6
4535,47789,1
4536,47789,6
4538,48874,61
4540,4035,1
4541,4035,2
4544,48887,62
4545,48888,45
4546,47790,61
4547,47790,62
4550,48893,46
4552,47588,68
4553,47588,63
4561,48901,68
4562,48901,63
4566,48897,111
4567,48910,111
4572,48912,69
4573,48913,68
4574,48913,65
4575,47524,65
4576,47524,65
4580,48914,68
4581,48914,65
4582,48914,65
4589,47610,69
4680,48932,62
4725,47815,64
4726,47816,68
4727,47816,64
4731,48938,62
4752,48944,2
4763,47441,4
4764,47680,1
4765,47680,5
4766,47595,61
4769,47402,46
4770,47402,47
4772,47616,111
4773,47407,47
4774,47407,46
4775,48946,45
4776,47410,47
4777,47409,47
4778,47403,47
4779,47395,46
4780,47395,47
4781,22635,1
4782,11057,1
4783,13059,1
4784,5,1
4785,47495,68
4786,47495,64
4787,1021,2
4788,2022,1
4789,2022,2
4790,47431,46
4791,47735,46
4810,48915,65
4821,47521,68
4822,47521,63
4870,48978,113
4871,48979,111
4872,48977,111
4881,48981,68
4882,48981,64
4902,48985,64
4910,48980,68
4911,48980,64
4912,48982,64
4913,48983,68
4914,48983,64
4915,48984,68
4916,48984,64
4920,48919,62
4921,48922,62
4922,48921,62
4923,48930,62
4924,48931,68
4925,48931,62
4926,48920,68
4927,48920,62
4935,47687,62
4936,47691,111
4944,47765,61
4950,47689,68
4951,47689,62
4952,47686,68
4953,47686,62
4954,47688,68
4955,47688,62
4956,47767,111
4957,47751,111
4958,47756,113
4960,47758,61
4961,20,3
